run_name,env_name,config_name,split_id,split_seed,train_seed,total_timesteps,n_envs,rollout_size,vecnormalize,train_idx,test_idx,train_success_rate,train_avg_return,train_std_return,train_avg_steps,train_avg_first_success_step,train_episodes,test_success_rate,test_avg_return,test_std_return,test_avg_steps,test_avg_first_success_step,test_episodes,success_gap,return_gap,model_path,vecnormalize_path,tensorboard_dir,source_file
ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,pick-place-v3,base_pick,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.8444444444444444,67.89013578467004,178.22702027779962,113.53333333333332,42.3421052631579,45,0.8,89.19400369026921,25.79178904308523,143.4,54.25,25,0.0444444444444444,-21.303867905599176,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_careful_pick_split0_splitseed67_trainseed11_6000000,pick-place-v3,careful_pick,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.9777777777777776,49.35550516425175,24.86064908155948,50.48888888888889,40.27272727272727,45,1.0,84.855902926222,7.618055753458374,47.0,47.0,25,-0.022222222222222365,-35.500397761970255,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_careful_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_careful_pick_split0_splitseed67_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_careful_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_careful_pick_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_base_pick_split1_splitseed68_trainseed11_6000000,pick-place-v3,base_pick,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.7555555555555555,94.87687610808662,276.3015215429858,165.82222222222222,57.70588235294117,45,0.4,13.766218345988282,11.312768201561669,325.2,63.0,25,0.3555555555555555,81.11065776209834,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_base_pick_split1_splitseed68_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_base_pick_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_careful_pick_split1_splitseed68_trainseed11_6000000,pick-place-v3,careful_pick,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",1.0,62.51169549799998,18.97457718625039,43.15555555555556,43.15555555555556,45,0.8,41.24943175138667,18.17775848096022,132.2,40.25,25,0.19999999999999996,21.262263746613307,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_careful_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_careful_pick_split1_splitseed68_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_careful_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_careful_pick_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_base_pick_split2_splitseed75_trainseed11_6000000,pick-place-v3,base_pick,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.9111111111111112,53.471514678699926,27.153744273089718,84.73333333333333,44.21951219512195,45,1.0,51.75593459575296,25.587458460508103,41.2,41.2,25,-0.0888888888888888,1.7155800829469712,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_base_pick_split2_splitseed75_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_base_pick_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_careful_pick_split2_splitseed75_trainseed11_6000000,pick-place-v3,careful_pick,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",1.0,64.207788124048,15.673936951166372,42.73333333333333,42.73333333333333,45,1.0,51.32865775918683,15.002332692947522,39.6,39.6,25,0.0,12.879130364861162,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_careful_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_careful_pick_split2_splitseed75_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_careful_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_careful_pick_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_short_rollout_pick_split0_splitseed67_trainseed11_6000000,pick-place-v3,short_rollout_pick,0,67,11,6000000,4,2048,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.1555555555555555,280.6533452544893,673.0992371765567,429.3555555555556,45.85714285714285,45,0.0,8.754012376832563,3.4169366049865317,500.0,,25,0.1555555555555555,271.8993328776568,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_short_rollout_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_short_rollout_pick_split0_splitseed67_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_short_rollout_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_short_rollout_pick_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_light_entropy_pick_split0_splitseed67_trainseed11_6000000,pick-place-v3,light_entropy_pick,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.9555555555555556,54.20707234150534,24.565489274959877,60.44444444444444,40.0,45,1.0,86.66728745800874,5.556982833438746,48.0,48.0,25,-0.0444444444444444,-32.460215116503406,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_light_entropy_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_light_entropy_pick_split0_splitseed67_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_light_entropy_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_light_entropy_pick_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_short_rollout_pick_split1_splitseed68_trainseed11_6000000,pick-place-v3,short_rollout_pick,1,68,11,6000000,4,2048,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.1111111111111111,204.55381864264035,420.4178124398626,451.6666666666667,65.0,45,0.0,9.366190014564854,5.1366034889493575,500.0,,25,0.1111111111111111,195.1876286280755,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_short_rollout_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_short_rollout_pick_split1_splitseed68_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_short_rollout_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_short_rollout_pick_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_light_entropy_pick_split1_splitseed68_trainseed11_6000000,pick-place-v3,light_entropy_pick,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.9555555555555556,59.17484166324247,23.93160000835504,64.88888888888889,44.65116279069768,45,1.0,58.69238849867091,19.94705112633829,42.6,42.6,25,-0.0444444444444444,0.4824531645715595,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_light_entropy_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_light_entropy_pick_split1_splitseed68_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_light_entropy_pick_split1_splitseed68_trainseed11_6000000\ppo_pick-place-v3_light_entropy_pick_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_short_rollout_pick_split2_splitseed75_trainseed11_6000000,pick-place-v3,short_rollout_pick,2,75,11,6000000,4,2048,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.0,335.4647500160456,632.478267814336,500.0,,45,0.0,570.295891561478,686.7675862631851,500.0,,25,0.0,-234.8311415454324,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_short_rollout_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_short_rollout_pick_split2_splitseed75_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_short_rollout_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_short_rollout_pick_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_pick-place-v3_light_entropy_pick_split2_splitseed75_trainseed11_6000000,pick-place-v3,light_entropy_pick,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.9555555555555556,28.607717048007377,29.18784757053036,63.86666666666667,43.58139534883721,45,1.0,52.87169041488037,30.350113423530644,42.4,42.4,25,-0.0444444444444444,-24.263973366872992,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_light_entropy_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_light_entropy_pick_split2_splitseed75_trainseed11_6000000_final.zip,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_light_entropy_pick_split2_splitseed75_trainseed11_6000000\ppo_pick-place-v3_light_entropy_pick_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,pick-place_v3_ppo_split_runs\tensorboard,pick-place\pick-place_v3_ppo_split_runs\results\pick-place_v3_aggregate_results.csv
ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,push-v3,base_push,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.9111111111111112,224.7733393119526,369.8074068425143,90.2,50.21951219512195,45,1.0,153.12267304109324,15.481159824786982,39.8,39.8,25,-0.0888888888888888,71.65066627085938,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000,push-v3,base_push,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.7111111111111111,286.25261789184856,531.3747702226208,178.57777777777778,48.0,45,0.8,568.5063820889815,795.0256765270767,135.6,44.5,25,-0.0888888888888889,-282.2537641971329,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000,push-v3,base_push,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.8888888888888888,275.40863234286536,401.70060150968345,101.4,51.575,45,1.0,159.55760575334355,23.022183989739435,36.8,36.8,25,-0.11111111111111116,115.8510265895218,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000,push-v3,careful_push,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.9777777777777776,178.90581577297868,89.08600494398856,48.31111111111111,38.04545454545455,45,1.0,159.83644749535827,28.20788707279989,37.0,37.0,25,-0.022222222222222365,19.069368277620413,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000,push-v3,careful_push,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",1.0,172.5067086549306,36.620878955489545,37.91111111111111,37.91111111111111,45,1.0,164.8288715993207,25.343900917308037,37.8,37.8,25,0.0,7.677837055609871,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000,push-v3,careful_push,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.9777777777777776,173.34903387886035,39.308916239915256,48.55555555555556,38.29545454545455,45,1.0,149.48794514725793,32.28433557498402,34.8,34.8,25,-0.022222222222222365,23.861088731602425,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000,push-v3,short_rollout_push,0,67,11,6000000,4,2048,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.4888888888888889,205.1828714800833,166.94354386734685,287.1333333333333,64.5909090909091,45,0.8,168.87926755481078,68.58226276334837,138.8,48.5,25,-0.31111111111111117,36.30360392527251,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000,push-v3,short_rollout_push,1,68,11,6000000,4,2048,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.4666666666666667,1031.6002760471476,1349.7309503499146,304.4222222222222,80.9047619047619,45,0.4,231.7258101512672,232.7079120051237,329.0,72.5,25,0.06666666666666665,799.8744658958805,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000,push-v3,short_rollout_push,2,75,11,6000000,4,2048,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.4666666666666667,175.52025667770113,128.29579518232674,307.0444444444444,86.52380952380952,45,0.4,116.25752642391252,78.96001890328904,318.2,45.5,25,0.06666666666666665,59.26273025378862,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard,push_v3\push_v3_ppo_split_runs\results\push_v3_aggregate_results.csv
